citation,processed_text
Numbers 13:30,caleb stilled people moses said let us go possess well able overcome
Numbers 13:31,men went said able go people stronger
Numbers 13:32,brought evil report land searched unto children israel saying land gone search land eateth inhabitants thereof people saw men great stature
Numbers 13:33,saw giants sons anak come giants sight grasshoppers sight
Numbers 14:1,congregation lifted voice cried people wept night
Numbers 14:2,children israel murmured moses aaron whole congregation said unto would god died land egypt would god died wilderness
Numbers 14:3,wherefore hath lord brought us unto land fall sword wives children prey better us return egypt
Numbers 14:4,said one another let us make captain let us return egypt
Numbers 14:5,moses aaron fell faces assembly congregation children israel
Numbers 14:6,joshua son nun caleb son jephunneh searched land rent clothes
Numbers 14:7,spake unto company children israel saying land passed search exceeding good land
Numbers 14:8,lord delight us bring us land give us land floweth milk honey
Numbers 14:9,rebel ye lord neither fear ye people land bread us defense departed lord us fear
Numbers 14:10,congregation bade stone stones glory lord appeared tabernacle congregation children israel
Numbers 14:11,lord said unto moses long people provoke long ere believe signs showed among
Numbers 14:12,smite pestilence disinherit make thee greater nation mightier
Numbers 14:13,moses said unto lord egyptians shall hear thou broughtest people thy might among
Numbers 14:14,tell inhabitants land heard thou lord art among people thou lord art seen face face thy cloud standeth thou goest day time pillar cloud pillar fire night
Numbers 14:15,thou shalt kill people one man nations heard fame thee speak saying
Numbers 14:16,lord able bring people land sware unto therefore hath slain wilderness
Numbers 14:17,beseech thee let power lord great according thou hast spoken saying
Numbers 14:18,lord great mercy forgiving iniquity transgression means clearing guilty visiting iniquity fathers upon children unto third fourth generation
Numbers 14:19,pardon beseech thee iniquity people according unto greatness thy mercy thou hast forgiven people egypt even
Numbers 14:20,lord said pardoned according thy word
Numbers 14:21,truly live earth shall filled glory lord
Numbers 14:22,men seen glory miracles egypt wilderness tempted ten times hearkened voice
Numbers 14:23,surely shall see land sware unto fathers neither shall provoked see
Numbers 14:24,servant caleb another spirit hath followed fully bring land whereinto went seed shall possess
Numbers 14:25,amalekites canaanites dwelt valley tomorrow turn get wilderness way red sea
Numbers 14:26,lord spake unto moses unto aaron saying
Numbers 14:27,long shall bear evil congregation murmur heard murmurings children israel murmur
Numbers 14:28,say unto truly live saith lord ye spoken mine ears
Numbers 14:29,carcasses shall fall wilderness numbered according whole number twenty years old upward murmured
Numbers 14:30,doubtless ye shall come land concerning sware make dwell therein save caleb son jephunneh joshua son nun
Numbers 14:31,little ones ye said prey bring shall know land ye despised
Numbers 14:32,carcasses shall fall wilderness
Numbers 14:33,children shall wander wilderness forty years bear whoredoms carcasses wasted wilderness
Numbers 14:34,number days ye searched land even forty days day year shall ye bear iniquities even forty years ye shall know breach promise
Numbers 14:35,lord said surely unto evil congregation gathered together wilderness shall consumed shall die
Numbers 14:36,men moses sent search land returned made congregation murmur bringing slander upon land
Numbers 14:37,even men bring evil report upon land died plague lord
Numbers 14:38,joshua son nun caleb son jephunneh men went search land lived still
Numbers 14:39,moses told sayings unto children israel people mourned greatly
Numbers 14:40,rose early morning gat top mountain saying lo go unto place lord hath promised sinned
Numbers 14:41,moses said wherefore ye transgress commandment lord shall prosper
Numbers 14:42,go lord among ye smitten enemies
Numbers 14:43,amalekites canaanites ye shall fall sword ye turned away lord therefore lord
Numbers 14:44,presumed go unto hill top nevertheless ark covenant lord moses departed camp
Numbers 14:45,amalekites came canaanites dwelt hill smote discomfited even unto hormah
Numbers 15:1,lord spake unto moses saying
Numbers 15:2,speak unto children israel say unto ye come land habitations give unto
Numbers 15:3,make offering fire unto lord burnt offering sacrifice performing vow freewill offering solemn feasts make sweet savor unto lord herd flock
Numbers 15:4,shall offereth offering unto lord bring meat offering tenth deal flour mingled fourth part hin oil
Numbers 15:5,fourth part hin wine drink offering shalt thou prepare burnt offering sacrifice one lamb
Numbers 15:6,ram thou shalt prepare meat offering two tenth deals flour mingled third part hin oil
Numbers 15:7,drink offering thou shalt offer third part hin wine sweet savor unto lord
Numbers 15:8,thou preparest bullock burnt offering sacrifice performing vow peace offerings unto lord
Numbers 15:9,shall bring bullock meat offering three tenth deals flour mingled half hin oil
Numbers 15:10,thou shalt bring drink offering half hin wine offering made fire sweet savor unto lord
Numbers 15:11,thus shall done one bullock one ram lamb kid
Numbers 15:12,according number ye shall prepare shall ye every one according number
Numbers 15:13,born country shall things manner offering offering made fire sweet savor unto lord
Numbers 15:14,stranger sojourn whosoever among generations offer offering made fire sweet savor unto lord ye shall
Numbers 15:15,one ordinance shall congregation also stranger sojourneth ordinance ever generations ye shall stranger lord
Numbers 15:16,one law one manner shall stranger sojourneth
Numbers 15:17,lord spake unto moses saying
Numbers 15:18,speak unto children israel say unto ye come land whither bring
Numbers 15:19,shall ye eat bread land ye shall offer heave offering unto lord
Numbers 15:20,ye shall offer cake first dough heave offering ye heave offering threshingfloor shall ye heave
Numbers 15:21,first dough ye shall give unto lord heave offering generations
Numbers 15:22,ye erred observed commandments lord hath spoken unto moses
Numbers 15:23,even lord hath commanded hand moses day lord commanded moses henceforward among generations
Numbers 15:24,shall ought committed ignorance without knowledge congregation congregation shall offer one young bullock burnt offering sweet savor unto lord meat offering drink offering according manner one kid goats sin offering
Numbers 15:25,priest shall make atonement congregation children israel shall forgiven ignorance shall bring offering sacrifice made fire unto lord sin offering lord ignorance
Numbers 15:26,shall forgiven congregation children israel stranger sojourneth among seeing people ignorance
Numbers 15:27,soul sin ignorance shall bring goat first year sin offering
Numbers 15:28,priest shall make atonement soul sinneth ignorantly sinneth ignorance lord make atonement shall forgiven
Numbers 15:29,ye shall one law sinneth ignorance born among children israel stranger sojourneth among
Numbers 15:30,soul doeth ought presumptuously whether born land stranger reproacheth lord soul shall cut among people
Numbers 15:31,hath despised word lord hath broken commandment soul shall utterly cut iniquity shall upon
Numbers 15:32,children israel wilderness found man gathered sticks upon sabbath day
Numbers 15:33,found gathering sticks brought unto moses aaron unto congregation
Numbers 15:34,put ward declared done
Numbers 15:35,lord said unto moses man shall surely put death congregation shall stone stones without camp
Numbers 15:36,congregation brought without camp stoned stones died lord commanded moses
Numbers 15:37,lord spake unto moses saying
Numbers 15:38,speak unto children israel bid make fringes borders garments throughout generations put upon fringe borders ribband blue
Numbers 15:39,shall unto fringe ye may look upon remember commandments lord ye seek heart eyes ye use go whoring
Numbers 15:40,ye may remember commandments holy unto god
Numbers 15:41,lord god brought land egypt god lord god
Numbers 16:1,korah son izhar son kohath son levi dathan abiram sons eliab son peleth sons reuben took men
Numbers 16:2,rose moses certain children israel two hundred fifty princes assembly famous congregation men renown
Numbers 16:3,gathered together moses aaron said unto ye take much upon seeing congregation holy every one lord among wherefore lift ye congregation lord
Numbers 16:4,moses heard fell upon face
Numbers 16:5,spake unto korah unto company saying even morrow lord show holy cause come near unto even hath chosen cause come near unto
Numbers 16:6,take censers korah company
Numbers 16:7,put fire therein put incense lord morrow shall man lord doth choose shall holy ye take much upon ye sons levi
Numbers 16:8,moses said unto korah hear pray ye sons levi
Numbers 16:9,seemeth small thing unto god israel hath separated congregation israel bring near service tabernacle lord stand congregation minister unto
Numbers 16:10,hath brought thee near thy brethren sons levi thee seek ye priesthood also
Numbers 16:11,cause thou thy company gathered together lord aaron ye murmur
Numbers 16:12,moses sent call dathan abiram sons eliab said come
Numbers 16:13,small thing thou hast brought us land floweth milk honey kill us wilderness except thou make thyself altogether prince us
Numbers 16:14,moreover thou hast brought us land floweth milk honey given us inheritance fields vineyards wilt thou put eyes men come
Numbers 16:15,moses wroth said unto lord respect thou offering taken one ass neither hurt one
Numbers 16:16,moses said unto korah thou thy company lord thou aaron morrow
Numbers 16:17,take every man censer put incense bring ye lord every man censer two hundred fifty censers thou also aaron censer
Numbers 16:18,took every man censer put fire laid incense thereon stood door tabernacle congregation moses aaron
Numbers 16:19,korah gathered congregation unto door tabernacle congregation glory lord appeared unto congregation
Numbers 16:20,lord spake unto moses unto aaron saying
Numbers 16:21,separate among congregation may consume moment
Numbers 16:22,fell upon faces said god god spirits flesh shall one man sin wilt thou wroth congregation
Numbers 16:23,lord spake unto moses saying
Numbers 16:24,speak unto congregation saying get tabernacle korah dathan abiram
Numbers 16:25,moses rose went unto dathan abiram elders israel followed
Numbers 16:26,spake unto congregation saying depart pray tents wicked men touch nothing lest ye consumed sins
Numbers 16:27,gat tabernacle korah dathan abiram every side dathan abiram came stood door tents wives sons little children
Numbers 16:28,moses said hereby ye shall know lord hath sent works done mine mind
Numbers 16:29,men die common death men visited visitation men lord hath sent
Numbers 16:30,lord make new thing earth open mouth swallow appertain unto go quick pit ye shall understand men provoked lord
Numbers 16:31,came pass made end speaking words ground clave asunder
Numbers 16:32,earth opened mouth swallowed houses men appertained unto korah goods
Numbers 16:33,appertained went alive pit earth closed upon perished among congregation
Numbers 16:34,israel round fled cry said lest earth swallow us also
Numbers 16:35,came fire lord consumed two hundred fifty men offered incense
Numbers 16:36,lord spake unto moses saying
Numbers 16:37,speak unto eleazar son aaron priest take censers burning scatter thou fire yonder hallowed
Numbers 16:38,censers sinners souls let make broad plates covering altar offered lord therefore hallowed shall sign unto children israel
Numbers 16:39,eleazar priest took brazen censers wherewith burnt offered made broad plates covering altar
Numbers 16:40,memorial unto children israel stranger seed aaron come near offer incense lord korah company lord said hand moses
Numbers 16:41,morrow congregation children israel murmured moses aaron saying ye killed people lord
Numbers 16:42,came pass congregation gathered moses aaron looked toward tabernacle congregation behold cloud covered glory lord appeared
Numbers 16:43,moses aaron came tabernacle congregation
Numbers 16:44,lord spake unto moses saying
Numbers 16:45,get among congregation may consume moment fell upon faces
Numbers 16:46,moses said unto aaron take censer put fire therein altar put incense go quickly unto congregation make atonement wrath gone lord plague begun
Numbers 16:47,aaron took moses commanded ran midst congregation behold plague begun among people put incense made atonement people
Numbers 16:48,stood dead living plague stayed
Numbers 16:49,died plague fourteen thousand seven hundred beside died matter korah
Numbers 16:50,aaron returned unto moses unto door tabernacle congregation plague stayed
Numbers 17:1,lord spake unto moses saying
Numbers 17:2,speak unto children israel take every one rod according house fathers princes according house fathers twelve rods write thou every man name upon rod
Numbers 17:3,thou shalt write aaron name upon rod levi one rod shall head house fathers
Numbers 17:4,thou shalt lay tabernacle congregation testimony meet
Numbers 17:5,shall come pass man rod shall choose shall blossom make cease murmurings children israel whereby murmur
Numbers 17:6,moses spake unto children israel every one princes gave rod apiece prince one according fathers houses even twelve rods rod aaron among rods
Numbers 17:7,moses laid rods lord tabernacle witness
Numbers 17:8,came pass morrow moses went tabernacle witness behold rod aaron house levi budded brought forth buds bloomed blossoms yielded almonds
Numbers 17:9,moses brought rods lord unto children israel looked took every man rod
Numbers 17:10,lord said unto moses bring aaron rod testimony kept token rebels thou shalt quite take away murmurings die
Numbers 17:11,moses lord commanded
Numbers 17:12,children israel spake unto moses saying behold die perish perish
Numbers 17:13,whosoever cometh thing near unto tabernacle lord shall die shall consumed dying
Numbers 18:1,lord said unto aaron thou thy sons thy father house thee shall bear iniquity sanctuary thou thy sons thee shall bear iniquity priesthood
Numbers 18:2,thy brethren also tribe levi tribe thy father bring thou thee may joined unto thee minister unto thee thou thy sons thee shall minister tabernacle witness
Numbers 18:3,shall keep thy charge charge tabernacle shall come nigh vessels sanctuary altar neither ye also die
Numbers 18:4,shall joined unto thee keep charge tabernacle congregation service tabernacle stranger shall come nigh unto
Numbers 18:5,ye shall keep charge sanctuary charge altar wrath upon children israel
Numbers 18:6,behold taken brethren levites among children israel given gift lord service tabernacle congregation
Numbers 18:7,therefore thou thy sons thee shall keep priest office everything altar within vail ye shall serve given priest office unto service gift stranger cometh nigh shall put death
Numbers 18:8,lord spake unto aaron behold also given thee charge mine heave offerings hallowed things children israel unto thee given reason anointing thy sons ordinance ever
Numbers 18:9,shall thine holy things reserved fire every oblation every meat offering every sin offering every trespass offering shall render unto shall holy thee thy sons
Numbers 18:10,holy place shalt thou eat every male shall eat shall holy unto thee
Numbers 18:11,thine heave offering gift wave offerings children israel given unto thee thy sons thy daughters thee statute ever every one clean thy house shall eat
Numbers 18:12,best oil best wine wheat firstfruits shall offer unto lord given thee
Numbers 18:13,whatsoever first ripe land shall bring unto lord shall thine every one clean thine house shall eat
Numbers 18:14,every thing devoted israel shall thine
Numbers 18:15,every thing openeth matrix flesh bring unto lord whether men beasts shall thine nevertheless firstborn man shalt thou surely redeem firstling unclean beasts shalt thou redeem
Numbers 18:16,redeemed month old shalt thou redeem according thine estimation money five shekels shekel sanctuary twenty gerahs
Numbers 18:17,firstling cow firstling sheep firstling goat thou shalt redeem holy thou shalt sprinkle blood upon altar shalt burn fat offering made fire sweet savor unto lord
Numbers 18:18,flesh shall thine wave breast right shoulder thine
Numbers 18:19,heave offerings holy things children israel offer unto lord given thee thy sons thy daughters thee statute ever covenant salt ever lord unto thee thy seed thee
Numbers 18:20,lord spake unto aaron thou shalt inheritance land neither shalt thou part among thy part thine inheritance among children israel
Numbers 18:21,behold given children levi tenth israel inheritance service serve even service tabernacle congregation
Numbers 18:22,neither must children israel henceforth come nigh tabernacle congregation lest bear sin die
Numbers 18:23,levites shall service tabernacle congregation shall bear iniquity shall statute ever throughout generations among children israel inheritance
Numbers 18:24,tithes children israel offer heave offering unto lord given levites inherit therefore said unto among children israel shall inheritance
Numbers 18:25,lord spake unto moses saying
Numbers 18:26,thus speak unto levites say unto ye take children israel tithes given inheritance ye shall offer heave offering lord even tenth part tithe
Numbers 18:27,heave offering shall reckoned unto though corn threshingfloor fulness winepress
Numbers 18:28,thus ye also shall offer heave offering unto lord tithes ye receive children israel ye shall give thereof lord heave offering aaron priest
Numbers 18:29,gifts ye shall offer every heave offering lord best thereof even hallowed part thereof
Numbers 18:30,therefore thou shalt say unto ye heaved best thereof shall counted unto levites increase threshingfloor increase winepress
Numbers 18:31,ye shall eat every place ye households reward service tabernacle congregation
Numbers 18:32,ye shall bear sin reason ye heaved best neither shall ye pollute holy things children israel lest ye die
Numbers 19:1,lord spake unto moses unto aaron saying
Numbers 19:2,ordinance law lord hath commanded saying speak unto children israel bring thee red heifer without spot wherein blemish upon never came yoke
Numbers 19:3,ye shall give unto eleazar priest may bring forth without camp one shall slay face
Numbers 19:4,eleazar priest shall take blood finger sprinkle blood directly tabernacle congregation seven times
Numbers 19:5,one shall burn heifer sight skin flesh blood dung shall burn
Numbers 19:6,priest shall take cedar wood hyssop scarlet cast midst burning heifer
Numbers 19:7,priest shall wash clothes shall bathe flesh water afterward shall come camp priest shall unclean even
Numbers 19:8,burneth shall wash clothes water bathe flesh water shall unclean even
Numbers 19:9,man clean shall gather ashes heifer lay without camp clean place shall kept congregation children israel water separation purification sin
Numbers 19:10,gathereth ashes heifer shall wash clothes unclean even shall unto children israel unto stranger sojourneth among statute ever
Numbers 19:11,toucheth dead body man shall unclean seven days
Numbers 19:12,shall purify third day seventh day shall clean purify third day seventh day shall clean
Numbers 19:13,whosoever toucheth dead body man dead purifieth defileth tabernacle lord soul shall cut israel water separation sprinkled upon shall unclean uncleanness yet upon
Numbers 19:14,law man dieth tent come tent tent shall unclean seven days
Numbers 19:15,every open vessel hath covering bound upon unclean
Numbers 19:16,whosoever toucheth one slain sword open fields dead body bone man grave shall unclean seven days
Numbers 19:17,unclean person shall take ashes burnt heifer purification sin running water shall put thereto vessel
Numbers 19:18,clean person shall take hyssop dip water sprinkle upon tent upon vessels upon persons upon touched bone one slain one dead grave
Numbers 19:19,clean person shall sprinkle upon unclean third day seventh day seventh day shall purify wash clothes bathe water shall clean even
Numbers 19:20,man shall unclean shall purify soul shall cut among congregation hath defiled sanctuary lord water separation hath sprinkled upon unclean
Numbers 19:21,shall perpetual statute unto sprinkleth water separation shall wash clothes toucheth water separation shall unclean even
Numbers 19:22,whatsoever unclean person toucheth shall unclean soul toucheth shall unclean even
Numbers 20:1,came children israel even whole congregation desert zin first month people abode kadesh miriam died buried
Numbers 20:2,water congregation gathered together moses aaron
Numbers 20:3,people chode moses spake saying would god died brethren died lord
Numbers 20:4,ye brought congregation lord wilderness cattle die
Numbers 20:5,wherefore ye made us come egypt bring us unto evil place place seed figs vines pomegranates neither water drink
Numbers 20:6,moses aaron went presence assembly unto door tabernacle congregation fell upon faces glory lord appeared unto
Numbers 20:7,lord spake unto moses saying
Numbers 20:8,take rod gather thou assembly together thou aaron thy brother speak ye unto rock eyes shall give forth water thou shalt bring forth water rock thou shalt give congregation beasts drink
Numbers 20:9,moses took rod lord commanded
Numbers 20:10,moses aaron gathered congregation together rock said unto hear ye rebels must fetch water rock
Numbers 20:11,moses lifted hand rod smote rock twice water came abundantly congregation drank beasts also
Numbers 20:12,lord spake unto moses aaron ye believed sanctify eyes children israel therefore ye shall bring congregation land given
Numbers 20:13,water meribah children israel strove lord sanctified
Numbers 20:14,moses sent messengers kadesh unto king edom thus saith thy brother israel thou knowest travail hath befallen us
Numbers 20:15,fathers went egypt dwelt egypt long time egyptians vexed us fathers
Numbers 20:16,cried unto lord heard voice sent angel hath brought us forth egypt behold kadesh city uttermost thy border
Numbers 20:17,let us pass pray thee thy country pass fields vineyards neither drink water wells go king high way turn right hand left passed thy borders
Numbers 20:18,edom said unto thou shalt pass lest come thee sword
Numbers 20:19,children israel said unto go high way cattle drink thy water pay without anything else go feet
Numbers 20:20,said thou shalt go edom came much people strong hand
Numbers 20:21,thus edom refused give israel passage border wherefore israel turned away
Numbers 20:22,children israel even whole congregation journeyed kadesh came unto mount hor
Numbers 20:23,lord spake unto moses aaron mount hor coast land edom saying
Numbers 20:24,aaron shall gathered unto people shall enter land given unto children israel ye rebelled word water meribah
Numbers 20:25,take aaron eleazar son bring unto mount hor
Numbers 20:26,strip aaron garments put upon eleazar son aaron shall gathered unto people shall die
Numbers 20:27,moses lord commanded went mount hor sight congregation
Numbers 20:28,moses stripped aaron garments put upon eleazar son aaron died top mount moses eleazar came mount
Numbers 20:29,congregation saw aaron dead mourned aaron thirty days even house israel
Numbers 21:1,king arad canaanite dwelt south heard tell israel came way spies fought israel took prisoners
Numbers 21:2,israel vowed vow unto lord said thou wilt indeed deliver people hand utterly destroy cities
Numbers 21:3,lord hearkened voice israel delivered canaanites utterly destroyed cities called name place hormah
Numbers 21:4,journeyed mount hor way red sea compass land edom soul people much discouraged way
Numbers 21:5,people spake god moses wherefore ye brought us egypt die wilderness bread neither water soul loatheth light bread
Numbers 21:6,lord sent fiery serpents among people bit people much people israel died
Numbers 21:7,therefore people came moses said sinned spoken lord thee pray unto lord take away serpents us moses prayed people
Numbers 21:8,lord said unto moses make thee fiery serpent set upon pole shall come pass every one bitten looketh upon shall live
Numbers 21:9,moses made serpent brass put upon pole came pass serpent bitten man beheld serpent brass lived
Numbers 21:10,children israel set forward pitched oboth
Numbers 21:11,journeyed oboth pitched ijeabarim wilderness moab toward sunrising
Numbers 21:12,thence removed pitched valley zared
Numbers 21:13,thence removed pitched side arnon wilderness cometh coasts amorites arnon border moab moab amorites
Numbers 21:14,wherefore said book wars lord red sea brooks arnon
Numbers 21:15,stream brooks goeth dwelling ar lieth upon border moab
Numbers 21:16,thence went beer well whereof lord spake unto moses gather people together give water
Numbers 21:17,israel sang song spring well sing ye unto
Numbers 21:18,princes digged well nobles people digged direction lawgiver staves wilderness went mattanah
Numbers 21:19,mattanah nahaliel nahaliel bamoth
Numbers 21:20,bamoth valley country moab top pisgah looketh toward jeshimon
Numbers 21:21,israel sent messengers unto sihon king amorites saying
Numbers 21:22,let pass thy land turn fields vineyards drink waters well go along king high way past thy borders
Numbers 21:23,sihon would suffer israel pass border sihon gathered people together went israel wilderness came jahaz fought israel
Numbers 21:24,israel smote edge sword possessed land arnon unto jabbok even unto children ammon border children ammon strong
Numbers 21:25,israel took cities israel dwelt cities amorites heshbon villages thereof
Numbers 21:26,heshbon city sihon king amorites fought former king moab taken land hand even unto arnon
Numbers 21:27,wherefore speak proverbs say come heshbon let city sihon built prepared
Numbers 21:28,fire gone heshbon flame city sihon hath consumed ar moab lords high places arnon
Numbers 21:29,woe thee moab thou art undone people chemosh hath given sons escaped daughters captivity unto sihon king amorites
Numbers 21:30,shot heshbon perished even unto dibon laid waste even unto nophah reacheth unto medeba
Numbers 21:31,thus israel dwelt land amorites
Numbers 21:32,moses sent spy jaazer took villages thereof drove amorites
Numbers 21:33,turned went way bashan og king bashan went people battle edrei
Numbers 21:34,lord said unto moses fear delivered thy hand people land thou shalt thou didst unto sihon king amorites dwelt heshbon
Numbers 21:35,smote sons people none left alive possessed land
Numbers 22:1,children israel set forward pitched plains moab side jordan jericho
Numbers 22:2,balak son zippor saw israel done amorites
Numbers 22:3,moab sore afraid people many moab distressed children israel
Numbers 22:4,moab said unto elders midian shall company lick round us ox licketh grass field balak son zippor king moabites time
Numbers 22:5,sent messengers therefore unto balaam son beor pethor river land children people call saying behold people come egypt behold cover face earth abide
Numbers 22:6,come therefore pray thee curse people mighty peradventure shall prevail may smite may drive land wot thou blessest blessed thou cursest cursed
Numbers 22:7,elders moab elders midian departed rewards divination hand came unto balaam spake unto words balak
Numbers 22:8,said unto lodge night bring word lord shall speak unto princes moab abode balaam
Numbers 22:9,god came unto balaam said men thee
Numbers 22:10,balaam said unto god balak son zippor king moab hath sent unto saying
Numbers 22:11,behold people come egypt covereth face earth come curse peradventure shall able overcome drive
Numbers 22:12,god said unto balaam thou shalt go thou shalt curse people blessed
Numbers 22:13,balaam rose morning said unto princes balak get land lord refuseth give leave go
Numbers 22:14,princes moab rose went unto balak said balaam refuseth come us
Numbers 22:15,balak sent yet princes honorable
Numbers 22:16,came balaam said thus saith balak son zippor let nothing pray thee hinder thee coming unto
Numbers 22:17,promote thee unto great honor whatsoever thou sayest unto come therefore pray thee curse people
Numbers 22:18,balaam answered said unto servants balak balak would give house full silver gold go beyond word lord god less
Numbers 22:19,therefore pray tarry ye also night may know lord say unto
Numbers 22:20,god came unto balaam night said unto men come call thee rise go yet word shall say unto thee shalt thou
Numbers 22:21,balaam rose morning saddled ass went princes moab
Numbers 22:22,god anger kindled went angel lord stood way adversary riding upon ass two servants
Numbers 22:23,ass saw angel lord standing way sword drawn hand ass turned aside way went field balaam smote ass turn way
Numbers 22:24,angel lord stood path vineyards wall side wall side
Numbers 22:25,ass saw angel lord thrust unto wall crushed balaam foot wall smote
Numbers 22:26,angel lord went stood narrow place way turn either right hand left
Numbers 22:27,ass saw angel lord fell balaam balaam anger kindled smote ass staff
Numbers 22:28,lord opened mouth ass said unto balaam done unto thee thou hast smitten three times
Numbers 22:29,balaam said unto ass thou hast mocked would sword mine hand would kill thee
Numbers 22:30,ass said unto balaam thine ass upon thou hast ridden ever since thine unto day ever wont unto thee said nay
Numbers 22:31,lord opened eyes balaam saw angel lord standing way sword drawn hand bowed head fell flat face
Numbers 22:32,angel lord said unto wherefore hast thou smitten thine ass three times behold went withstand thee thy way perverse
Numbers 22:33,ass saw turned three times unless turned surely also slain thee saved alive
Numbers 22:34,balaam said unto angel lord sinned knew thou stoodest way therefore displease thee get back
Numbers 22:35,angel lord said unto balaam go men word shall speak unto thee thou shalt speak balaam went princes balak
Numbers 22:36,balak heard balaam come went meet unto city moab border arnon utmost coast
Numbers 22:37,balak said unto balaam earnestly send unto thee call thee wherefore camest thou unto able indeed promote thee honor
Numbers 22:38,balaam said unto balak lo come unto thee power say thing word god putteth mouth shall speak
Numbers 22:39,balaam went balak came unto kirjathhuzoth
Numbers 22:40,balak offered oxen sheep sent balaam princes
Numbers 22:41,came pass morrow balak took balaam brought high places baal thence might see utmost part people
Numbers 23:1,balaam said unto balak build seven altars prepare seven oxen seven rams
Numbers 23:2,balak balaam spoken balak balaam offered every altar bullock ram
Numbers 23:3,balaam said unto balak stand thy burnt offering go peradventure lord come meet whatsoever showeth tell thee went high place
Numbers 23:4,god met balaam said unto prepared seven altars offered upon every altar bullock ram
Numbers 23:5,lord put word balaam mouth said return unto balak thus thou shalt speak
Numbers 23:6,returned unto lo stood burnt sacrifice princes moab
Numbers 23:7,took parable said balak king moab hath brought aram mountains east saying come curse jacob come defy israel
Numbers 23:8,shall curse god hath cursed shall defy lord hath defied
Numbers 23:9,top rocks see hills behold lo people shall dwell alone shall reckoned among nations
Numbers 23:10,count dust jacob number fourth part israel let die death righteous let last end like
Numbers 23:11,balak said unto balaam hast thou done unto took thee curse mine enemies behold thou hast blessed altogether
Numbers 23:12,answered said must take heed speak lord hath put mouth
Numbers 23:13,balak said unto come pray thee unto another place whence thou mayest see thou shalt see utmost part shalt see curse thence
Numbers 23:14,brought field zophim top pisgah built seven altars offered bullock ram every altar
Numbers 23:15,said unto balak stand thy burnt offering meet lord yonder
Numbers 23:16,lord met balaam put word mouth said go unto balak say thus
Numbers 23:17,came behold stood burnt offering princes moab balak said unto hath lord spoken
Numbers 23:18,took parable said rise balak hear hearken unto thou son zippor
Numbers 23:19,god man lie neither son man repent hath said shall hath spoken shall make good
Numbers 23:20,behold received commandment bless hath blessed reverse
Numbers 23:21,hath beheld iniquity jacob neither hath seen perverseness israel lord god shout king among
Numbers 23:22,god brought egypt hath strength unicorn
Numbers 23:23,surely enchantment jacob neither divination israel according time shall said jacob israel hath god wrought
Numbers 23:24,behold people shall rise great lion lift young lion shall lie eat prey drink blood slain
Numbers 23:25,balak said unto balaam neither curse bless
Numbers 23:26,balaam answered said unto balak told thee saying lord speaketh must
Numbers 23:27,balak said unto balaam come pray thee bring thee unto another place peradventure please god thou mayest curse thence
Numbers 23:28,balak brought balaam unto top peor looketh toward jeshimon
Numbers 23:29,balaam said unto balak build seven altars prepare seven bullocks seven rams
Numbers 23:30,balak balaam said offered bullock ram every altar
Numbers 24:1,balaam saw pleased lord bless israel went times seek enchantments set face toward wilderness
Numbers 24:2,balaam lifted eyes saw israel abiding tents according tribes spirit god came upon
Numbers 24:3,took parable said balaam son beor hath said man whose eyes open hath said
Numbers 24:4,hath said heard words god saw vision almighty falling trance eyes open
Numbers 24:5,goodly thy tents jacob thy tabernacles israel
Numbers 24:6,valleys spread forth gardens river side trees lign aloes lord hath planted cedar trees beside waters
Numbers 24:7,shall pour water buckets seed shall many waters king shall higher agag kingdom shall exalted
Numbers 24:8,god brought forth egypt hath strength unicorn shall eat nations enemies shall break bones pierce arrows
Numbers 24:9,couched lay lion great lion shall stir blessed blesseth thee cursed curseth thee
Numbers 24:10,balak anger kindled balaam smote hands together balak said unto balaam called thee curse mine enemies behold thou hast altogether blessed three times
Numbers 24:11,therefore flee thou thy place thought promote thee unto great honor lo lord hath kept thee back honor
Numbers 24:12,balaam said unto balak spake also thy messengers thou sentest unto saying
Numbers 24:13,balak would give house full silver gold go beyond commandment lord either good bad mine mind lord saith speak
Numbers 24:14,behold go unto people come therefore advertise thee people shall thy people latter days
Numbers 24:15,took parable said balaam son beor hath said man whose eyes open hath said
Numbers 24:16,hath said heard words god knew knowledge high saw vision almighty falling trance eyes open
Numbers 24:17,shall see shall behold nigh shall come star jacob sceptre shall rise israel shall smite corners moab destroy children sheth
Numbers 24:18,edom shall possession seir also shall possession enemies israel shall valiantly
Numbers 24:19,jacob shall come shall dominion shall destroy remaineth city
Numbers 24:20,looked amalek took parable said amalek first nations latter end shall perish ever
Numbers 24:21,looked kenites took parable said strong thy dwelling place thou puttest thy nest rock
Numbers 24:22,nevertheless kenite shall wasted asshur shall carry thee away captive
Numbers 24:23,took parable said alas shall live god doeth
Numbers 24:24,ships shall come coast chittim shall afflict asshur shall afflict eber also shall perish ever
Numbers 24:25,balaam rose went returned place balak also went way
Numbers 25:1,israel abode shittim people began commit whoredom daughters moab
Numbers 25:2,called people unto sacrifices gods people eat bowed gods
Numbers 25:3,israel joined unto baalpeor anger lord kindled israel
Numbers 25:4,lord said unto moses take heads people hang lord sun fierce anger lord may turned away israel
Numbers 25:5,moses said unto judges israel slay ye every one men joined unto baalpeor
Numbers 25:6,behold one children israel came brought unto brethren midianitish woman sight moses sight congregation children israel weeping door tabernacle congregation
